intentname,desc,utterances,fulfillment
Agile,Help user learn agile practices such as scrum,what is agile practices,Here is more information on agile practices including scrum and sprints - https://jisc365.sharepoint.com/sites/SpecialProjectsTeam/SitePages/sprint-process.aspx#overview
Agile,Help user learn agile practices such as scrum,where can I learn more about scrum,Here is more information on agile practices including scrum and sprints - https://jisc365.sharepoint.com/sites/SpecialProjectsTeam/SitePages/sprint-process.aspx#overview
Agile,Help user learn agile practices such as scrum,what is a retro,Here is more information on agile practices including scrum and sprints - https://jisc365.sharepoint.com/sites/SpecialProjectsTeam/SitePages/sprint-process.aspx#overview
Agile,Help user learn agile practices such as scrum,why does planning last so long,Here is more information on agile practices including scrum and sprints - https://jisc365.sharepoint.com/sites/SpecialProjectsTeam/SitePages/sprint-process.aspx#overview
Salesforce,Help user find our salesforce link,what is salesforce,Here is the link to Salesforce our CRM (customer relationship management) - https://hesa.lightning.force.com/lightning/page/home
Salesforce,Help user find our salesforce link,does the team use a CRM,Here is the link to Salesforce our CRM (customer relationship management) - https://hesa.lightning.force.com/lightning/page/home
Salesforce,Help user find our salesforce link,I need the link to salesforce,Here is the link to Salesforce our CRM (customer relationship management) - https://hesa.lightning.force.com/lightning/page/home
Salesforce,Help user find our salesforce link,why do we use salesforce,Here is the link to Salesforce our CRM (customer relationship management) - https://hesa.lightning.force.com/lightning/page/home
SQL,Help user learn how to program using SQL,what is sql,Here is link to SQL training - https://jisc365.sharepoint.com/:f:/r/sites/SpecialProjectsTeam/Shared%20Documents/Tailored%20Datasets/General/Training?csf=1&web=1&e=adAm6w
SQL,Help user learn how to program using SQL,how do I code with structured data,Here is link to SQL training - https://jisc365.sharepoint.com/:f:/r/sites/SpecialProjectsTeam/Shared%20Documents/Tailored%20Datasets/General/Training?csf=1&web=1&e=adAm6w
SQL,Help user learn how to program using SQL,what is the data warehouse,Here is link to SQL training - https://jisc365.sharepoint.com/:f:/r/sites/SpecialProjectsTeam/Shared%20Documents/Tailored%20Datasets/General/Training?csf=1&web=1&e=adAm6w
SQL,Help user learn how to program using SQL,how do I access the HESA data,Here is link to SQL training - https://jisc365.sharepoint.com/:f:/r/sites/SpecialProjectsTeam/Shared%20Documents/Tailored%20Datasets/General/Training?csf=1&web=1&e=adAm6w
SQL,Help user learn how to program using SQL,can I learn how to program using sql,Here is link to SQL training - https://jisc365.sharepoint.com/:f:/r/sites/SpecialProjectsTeam/Shared%20Documents/Tailored%20Datasets/General/Training?csf=1&web=1&e=adAm6w
